T° Extérieure;H% Extérieure;Dew Point;Ressentie;Vent;Rafale;Pression R;Luminosité;UVI;Pluie Heure;Pluie Jour;Semaine;Pluie mois;Pluie Année;Pm2.5;;;
12.9;84;10.3;12.9;9.4;9.4;1009.1;0;0;0;0;1.1;56.2;612.4;12.4;12.4;00:00;20251029
12.9;84;10.3;12.9;10.4;10.4;1009;0;0;0;0;1.1;56.2;612.4;12.4;12.4;00:01;
12.9;84;10.3;12.9;12.2;13;1009;0;0;0;0;1.1;56.2;612.4;12.4;12.4;00:02;
13;84;10.4;13;10.1;12.2;1008.9;0;0;0;0;1.1;56.2;612.4;12.3;12.4;00:03;
12.9;84;10.3;12.9;10.8;14.4;1009.1;0;0;0;0;1.1;56.2;612.4;12.4;12.4;00:04;
12.9;84;10.3;12.9;17.6;20.2;1008.9;0;0;0;0;1.1;56.2;612.4;12.4;12.4;00:05;
12.9;84;10.3;12.9;9;13;1009.1;0;0;0;0;1.1;56.2;612.4;12.4;12.4;00:06;
12.8;84;10.2;12.8;12.2;18;1008.9;0;0;0;0;1.1;56.2;612.4;12.4;12.4;00:07;
12.8;84;10.2;12.8;10.4;11.9;1008.8;0;0;0;0;1.1;56.2;612.4;12.4;12.4;00:08;
12.8;84;10.2;12.8;9.7;10.8;1009;0;0;0;0;1.1;56.2;612.4;12.4;12.4;00:09;
12.8;84;10.2;12.8;11.5;16.6;1008.9;0;0;0;0;1.1;56.2;612.4;12.4;12.4;00:10;
12.8;84;10.2;12.8;6.1;9.4;1008.7;0;0;0;0;1.1;56.2;612.4;12.4;12.4;00:11;
12.8;84;10.2;12.8;6.5;10.1;1008.9;0;0;0;0;1.1;56.2;612.4;12.4;12.4;00:12;
12.8;84;10.2;12.8;10.4;14.8;1008.8;0;0;0;0;1.1;56.2;612.4;12.4;12.4;00:13;
12.8;84;10.2;12.8;13.3;18.4;1008.8;0;0;0;0;1.1;56.2;612.4;12.4;12.4;00:14;
12.8;84;10.2;12.8;8.3;10.4;1008.7;0;0;0;0;1.1;56.2;612.4;12.4;12.4;00:15;
12.7;84;10.1;12.7;6.8;11.5;1008.8;0;0;0;0;1.1;56.2;612.4;12.4;12.4;00:16;
12.7;85;10.2;12.7;6.8;14.8;1008.9;0;0;0;0;1.1;56.2;612.4;12.4;12.3;00:17;
12.6;85;10.1;12.6;4.7;11.2;1008.9;0;0;0;0;1.1;56.2;612.4;12.3;12.3;00:18;
12.5;85;10;12.5;11.9;14.8;1008.9;0;0;0;0;1.1;56.2;612.4;12.4;12.3;00:19;
12.4;85;9.9;12.4;7.9;8.3;1009;0;0;0;0;1.1;56.2;612.4;12.3;12.3;00:20;
12.4;85;9.9;12.4;5.8;6.5;1008.7;0;0;0;0;1.1;56.2;612.4;12.3;12.3;00:21;
12.3;85;9.9;12.3;4.7;5;1009.1;0;0;0;0;1.1;56.2;612.4;12.3;12.2;00:22;
12.1;85;9.7;12.1;4.7;4.7;1009;0;0;0;0;1.1;56.2;612.4;12.2;12.2;00:23;
11.8;85;9.4;11.8;4;4.7;1008.9;0;0;0;0;1.1;56.2;612.4;12.2;12.2;00:24;
11.7;85;9.3;11.7;2.9;3.6;1009;0;0;0;0;1.1;56.2;612.4;12.2;12.1;00:25;
11.5;85;9.1;11.5;3.2;3.6;1008.9;0;0;0;0;1.1;56.2;612.4;12.1;12.1;00:26;
11.3;85;8.9;11.3;2.5;3.2;1008.9;0;0;0;0;1.1;56.2;612.4;12;12;00:27;
11.2;86;9;11.2;1.8;3.2;1008.8;0;0;0;0;1.1;56.2;612.4;12;11.9;00:28;
11.1;86;8.9;11.1;2.5;3.2;1009;0;0;0;0;1.1;56.2;612.4;11.9;11.8;00:29;
11.1;86;8.9;11.1;2.2;2.2;1008.8;0;0;0;0;1.1;56.2;612.4;11.8;11.7;00:30;
11;86;8.8;11;0;3.2;1008.9;0;0;0;0;1.1;56.2;612.4;11.6;11.6;00:31;
11;86;8.8;11;0;0;1009.1;0;0;0;0;1.1;56.2;612.4;11.6;11.6;00:32;
10.9;86;8.7;10.9;2.2;2.9;1008.9;0;0;0;0;1.1;56.2;612.4;11.5;11.6;00:33;
10.8;86;8.6;10.8;0;2.5;1008.9;0;0;0;0;1.1;56.2;612.4;11.3;11.4;00:34;
10.8;86;8.6;10.8;2.2;2.9;1009;0;0;0;0;1.1;56.2;612.4;11.3;11.3;00:35;
10.7;86;8.5;10.7;2.9;3.2;1008.7;0;0;0;0;1.1;56.2;612.4;11.2;11.3;00:36;
10.7;87;8.6;10.7;1.8;3.2;1009;0;0;0;0;1.1;56.2;612.4;11.1;11.2;00:37;
10.6;87;8.5;10.6;0;1.8;1008.9;0;0;0;0;1.1;56.2;612.4;11;11.1;00:38;
10.6;87;8.5;10.6;0;0;1008.9;0;0;0;0;1.1;56.2;612.4;10.9;11;00:39;
10.6;87;8.5;10.6;2.5;2.5;1008.7;0;0;0;0;1.1;56.2;612.4;10.8;10.9;00:40;
10.6;87;8.5;10.6;2.9;4.3;1008.9;0;0;0;0;1.1;56.2;612.4;10.7;10.8;00:41;
10.6;87;8.5;10.6;0;2.9;1008.9;0;0;0;0;1.1;56.2;612.4;10.7;10.7;00:42;
10.5;87;8.4;10.5;0;0;1008.7;0;0;0;0;1.1;56.2;612.4;10.6;10.6;00:43;
10.5;87;8.4;10.5;2.2;2.2;1008.8;0;0;0;0;1.1;56.2;612.4;10.5;10.6;00:44;
10.4;87;8.3;10.4;2.5;3.6;1008.6;0;0;0;0;1.1;56.2;612.4;10.4;10.5;00:45;
