Heure,Température intérieure(℃),Humidité intérieure(%),Température extérieure(℃),Humidité extérieure(%),Point de rosée(℃),Ressentie(℃),Vent(km/h),Rafale(km/h),Direction du vent(°),Pression ABS(hpa),Pression REL(hpa),Radiations solaires(lux),Index UV,Pluie dern. heure(mm),Evènement de pluie(mm),Pluie du jour(mm),Pluie hebdomadaire(mm),Pluie mensuelle(mm),Pluie annuelle(mm),Pm2.5(ug/m3)
2025/7/31 23:59,21.5,81,17.6,85,15.1,17.6,6.8,7.9,351,1017.7,1017.7,0,0,0.0,0.0,0.0,0.0,37.9,449.0,--
2025/8/1 0:00,21.5,81,17.6,85,15.1,17.6,6.8,7.9,351,1017.7,1017.7,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:01,21.5,81,17.6,85,15.1,17.6,9.4,9.4,285,1017.7,1017.7,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:02,21.5,81,17.6,85,15.1,17.6,1.8,6.1,9,1017.8,1017.8,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:03,21.5,81,17.6,85,15.1,17.6,5.4,9.4,286,1017.7,1017.7,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:04,21.5,81,17.6,85,15.1,17.6,6.1,9.7,297,1017.6,1017.6,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:05,21.5,81,17.7,85,15.1,17.7,9.7,9.7,345,1017.7,1017.7,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:06,21.5,81,17.6,85,15.1,17.6,1.8,6.8,247,1017.8,1017.8,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:07,21.5,81,17.6,85,15.1,17.6,8.3,9.4,306,1017.7,1017.7,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:08,21.5,81,17.6,84,14.9,17.6,8.6,11.9,251,1017.8,1017.8,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:09,21.5,81,17.7,84,15.0,17.7,6.5,10.1,342,1017.7,1017.7,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:10,21.5,81,17.7,84,15.0,17.7,2.9,6.5,316,1017.7,1017.7,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:11,21.5,81,17.7,84,15.0,17.7,5.0,7.9,340,1017.5,1017.5,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:12,21.5,81,17.7,84,15.0,17.7,1.8,2.2,240,1017.8,1017.8,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:13,21.5,81,17.7,84,15.0,17.7,7.2,7.2,324,1017.6,1017.6,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:14,21.5,82,17.7,84,15.0,17.7,12.6,15.1,326,1017.8,1017.8,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:15,21.5,81,17.8,84,15.1,17.8,2.2,5.0,249,1017.6,1017.6,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:16,21.5,82,17.8,84,15.1,17.8,10.4,10.4,346,1017.6,1017.6,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:17,21.5,81,17.8,84,15.1,17.8,7.2,11.5,278,1017.6,1017.6,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:18,21.5,82,17.8,84,15.1,17.8,5.4,9.7,312,1017.7,1017.7,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:19,21.5,82,17.8,84,15.1,17.8,9.7,11.2,271,1017.7,1017.7,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:20,21.5,82,17.8,84,15.1,17.8,5.8,10.4,287,1017.6,1017.6,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:21,21.5,82,17.8,84,15.1,17.8,4.0,9.7,280,1017.5,1017.5,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:22,21.5,82,17.9,84,15.2,17.9,3.2,6.1,342,1017.5,1017.5,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:23,21.5,82,17.9,84,15.2,17.9,5.4,5.4,311,1017.8,1017.8,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:24,21.5,82,17.9,84,15.2,17.9,3.6,6.5,286,1017.5,1017.5,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:25,21.5,82,17.9,84,15.2,17.9,3.2,6.8,234,1017.8,1017.8,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:26,21.5,82,18.0,84,15.3,18.0,6.8,8.6,293,1017.5,1017.5,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:27,21.5,82,18.0,83,15.1,18.0,4.0,9.0,338,1017.5,1017.5,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:28,21.5,82,18.0,83,15.1,18.0,14.8,15.5,306,1017.4,1017.4,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:29,21.5,82,18.0,83,15.1,18.0,9.4,14.8,312,1017.4,1017.4,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:30,21.5,82,18.0,83,15.1,18.0,2.9,6.1,249,1017.6,1017.6,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:31,21.5,82,18.0,83,15.1,18.0,4.3,4.7,290,1017.4,1017.4,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:32,21.5,82,18.0,83,15.1,18.0,2.5,6.8,323,1017.4,1017.4,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
2025/8/1 0:33,21.5,82,18.0,83,15.1,18.0,2.2,4.3,24,1017.5,1017.5,0,0,0.0,0.0,0.0,0.0,0.0,449.0,--
