Heure,Température intérieure(℃),Humidité intérieure(%),Température extérieure(℃),Humidité extérieure(%),Point de rosée(℃),Ressentie(℃),Vent(km/h),Rafale(km/h),Direction du vent(°),Pression ABS(hpa),Pression REL(hpa),Radiations solaires(lux),Index UV,Pluie dern. heure(mm),Evènement de pluie(mm),Pluie du jour(mm),Pluie hebdomadaire(mm),Pluie mensuelle(mm),Pluie annuelle(mm),Pm2.5(ug/m3)
2026/2/28 23:56,19.4,76,9.6,81,6.5,9.6,2.9,2.9,348,1024.3,1024.3,0,0,0.0,0.0,0.1,3.4,96.4,181.8,--
2026/2/28 23:57,19.4,76,9.6,81,6.5,9.6,3.6,4.3,63,1024.3,1024.3,0,0,0.0,0.0,0.1,3.4,96.4,181.8,--
2026/2/28 23:58,19.4,76,9.7,81,6.6,9.7,3.2,4.0,56,1024.3,1024.3,0,0,0.0,0.0,0.1,3.4,96.4,181.8,--
2026/2/28 23:59,19.4,76,9.6,81,6.5,9.6,1.8,3.2,233,1024.4,1024.4,0,0,0.0,0.0,0.1,3.4,96.4,181.8,--
2026/3/1 0:00,19.4,76,9.7,81,6.6,9.7,0.0,2.9,37,1024.1,1024.1,0,0,0.0,0.0,0.0,3.4,0.0,181.8,--
2026/3/1 0:00,19.4,76,9.6,81,6.5,9.6,0.0,2.9,23,1024.1,1024.1,0,0,0.0,0.0,0.0,3.4,0.0,181.8,--
2026/3/1 0:01,19.4,76,9.6,82,6.7,9.6,2.2,4.7,40,1024.3,1024.3,0,0,0.0,0.0,0.0,3.4,0.0,181.8,--
2026/3/1 0:02,19.4,76,9.6,82,6.7,9.6,3.2,3.2,95,1024.3,1024.3,0,0,0.0,0.0,0.0,3.4,0.0,181.8,--
2026/3/1 0:03,19.4,76,9.7,82,6.8,9.7,3.6,4.3,51,1024.3,1024.3,0,0,0.0,0.0,0.0,3.4,0.0,181.8,--
2026/3/1 0:04,19.4,76,9.7,82,6.8,9.7,0.0,3.2,269,1024.4,1024.4,0,0,0.0,0.0,0.0,3.4,0.0,181.8,--
2026/3/1 0:05,19.4,76,9.7,82,6.8,9.7,0.0,1.8,47,1024.2,1024.2,0,0,0.0,0.0,0.0,3.4,0.0,181.8,--
2026/3/1 0:06,19.4,76,9.7,82,6.8,9.7,2.2,2.2,77,1024.4,1024.4,0,0,0.0,0.0,0.0,3.4,0.0,181.8,--
2026/3/1 0:07,19.4,77,9.6,82,6.7,9.6,3.6,3.6,299,1024.4,1024.4,0,0,0.0,0.0,0.0,3.4,0.0,181.8,--
2026/3/1 0:08,19.4,77,9.7,82,6.8,9.7,2.2,2.9,69,1024.2,1024.2,0,0,0.0,0.0,0.0,3.4,0.0,181.8,--
