T° Extérieure;H% Extérieure;Dew Point;Ressentie;Vent;Rafale;Pression R;Luminosité;UVI;Pluie Heure;Pluie Jour;Semaine;Pluie mois;Pluie Année;Pm2.5;;;
6.9;91;5.6;5.2;9;9;1022.6;0;0;0;0;44;0;162.6;6.6;7;00:00;20250201
6.9;91;5.6;6.9;4.3;5;1022.3;0;0;0;0;44;0;162.6;6.6;6.9;00:01;
6.9;91;5.6;6.9;2.9;5.4;1022.4;0;0;0;0;44;0;162.6;6.6;6.9;00:02;
6.9;91;5.6;6.9;2.2;7.9;1022.3;0;0;0;0;44;0;162.6;6.6;6.9;00:03;
6.9;91;5.6;5.7;6.5;6.5;1022.5;0;0;0;0;44;0;162.6;6.6;6.9;00:04;
7;91;5.7;6.2;5.4;7.6;1022.5;0;0;0;0;44;0;162.6;6.6;6.9;00:05;
7;91;5.7;4.6;12.6;15.5;1022.5;0;0;0;0;44;0;162.6;6.6;6.9;00:06;
7.1;91;5.8;5.2;10.1;11.5;1022.4;0;0;0;0;44;0;162.6;6.6;6.9;00:07;
7.1;91;5.8;6.5;5;11.2;1022.2;0;0;0;0;44;0;162.6;6.6;6.9;00:08;
7.1;91;5.8;5.3;9.4;17.6;1022.5;0;0;0;0;44;0;162.6;6.7;7;00:09;
7.1;91;5.8;6.3;5.4;11.5;1022.5;0;0;0;0;44;0;162.6;6.7;7;00:10;
7.1;91;5.8;4;17.6;19.4;1022.3;0;0;0;0;44;0;162.6;6.8;7;00:11;
7.1;91;5.8;4.6;13;24.8;1022.4;0;0;0;0;44;0;162.6;6.8;7.1;00:12;
7.1;91;5.8;5.4;9;11.2;1022.6;0;0;0;0;44;0;162.6;6.8;7.1;00:13;
7.1;91;5.8;5.2;10.1;10.1;1022.5;0;0;0;0;44;0;162.6;6.9;7.1;00:14;
7.1;91;5.8;5.7;7.6;15.1;1022.5;0;0;0;0;44;0;162.6;6.8;7.1;00:15;
7.1;91;5.8;5.7;7.6;10.8;1022.5;0;0;0;0;44;0;162.6;6.9;7.1;00:16;
7.1;91;5.8;5.7;7.6;11.5;1022.6;0;0;0;0;44;0;162.6;6.9;7.1;00:17;
