T° Extérieure;H% Extérieure;Dew Point;Ressentie;Vent;Rafale;Pression R;Luminosité;UVI;Pluie Heure;Pluie Jour;Semaine;Pluie mois;Pluie Année;Pm2.5;;;
1.1;90;-0.4;1.1;1.8;2.9;1022.3;0;0;0;0;44;0;162.6;-1.2;-0.5;00:00;20250202
1.1;90;-0.4;1.1;2.9;2.9;1022.5;0;0;0;0;44;0;162.6;-1.1;-0.5;00:01;
1.1;90;-0.4;1.1;3.2;3.2;1022.1;0;0;0;0;44;0;162.6;-1.1;-0.4;00:02;
1.2;90;-0.3;1.2;2.2;2.5;1022.4;0;0;0;0;44;0;162.6;-1.1;-0.4;00:03;
1.2;90;-0.3;1.2;2.2;2.5;1022.3;0;0;0;0;44;0;162.6;-1.1;-0.4;00:04;
1.2;90;-0.3;1.2;2.9;2.9;1022.3;0;0;0;0;44;0;162.6;-1.1;-0.4;00:05;
1.1;90;-0.4;1.1;2.9;2.9;1022.3;0;0;0;0;44;0;162.6;-1.1;-0.4;00:06;
1.2;90;-0.3;1.2;0;1.8;1022.3;0;0;0;0;44;0;162.6;-1.1;-0.4;00:07;
1.1;90;-0.4;1.1;0;1.8;1022.2;0;0;0;0;44;0;162.6;-1.1;-0.4;00:08;
1.1;90;-0.4;1.1;2.2;2.2;1022.5;0;0;0;0;44;0;162.6;-1.1;-0.4;00:09;
1;90;-0.5;1;2.5;3.2;1022.3;0;0;0;0;44;0;162.6;-1.1;-0.4;00:10;
1.1;90;-0.4;1.1;2.9;2.9;1022.4;0;0;0;0;44;0;162.6;-1.1;-0.4;00:11;
1.1;90;-0.4;1.1;3.2;4;1022.3;0;0;0;0;44;0;162.6;-1.1;-0.4;00:12;
1.1;90;-0.4;1.1;2.2;2.9;1022.3;0;0;0;0;44;0;162.6;-1.1;-0.4;00:13;
1.1;90;-0.4;1.1;0;2.2;1022.1;0;0;0;0;44;0;162.6;-1.1;-0.4;00:14;
1;90;-0.5;1;1.8;2.2;1022.4;0;0;0;0;44;0;162.6;-1.1;-0.4;00:15;
1;90;-0.5;1;0;1.8;1022.3;0;0;0;0;44;0;162.6;-1.1;-0.4;00:16;
1;90;-0.5;1;1.8;2.2;1022.3;0;0;0;0;44;0;162.6;-1.1;-0.4;00:17;
1;90;-0.5;1;2.2;2.5;1022.3;0;0;0;0;44;0;162.6;-1.1;-0.4;00:18;
1;90;-0.5;1;2.5;2.5;1022.3;0;0;0;0;44;0;162.6;-1.1;-0.4;00:19;
1.1;90;-0.4;1.1;1.8;2.5;1022.2;0;0;0;0;44;0;162.6;-1.2;-0.4;00:20;
1.1;90;-0.4;1.1;0;0;1022.1;0;0;0;0;44;0;162.6;-1.2;-0.4;00:21;
1;90;-0.5;1;2.2;2.2;1022.3;0;0;0;0;44;0;162.6;-1.2;-0.4;00:22;
1;90;-0.5;1;2.5;2.5;1022.3;0;0;0;0;44;0;162.6;-1.2;-0.4;00:23;
1;90;-0.5;1;0;1.8;1022.2;0;0;0;0;44;0;162.6;-1.2;-0.4;00:24;
0.9;90;-0.6;0.9;0;0;1022.5;0;0;0;0;44;0;162.6;-1.2;-0.4;00:25;
0.9;90;-0.6;0.9;0;0;1022.4;0;0;0;0;44;0;162.6;-1.2;-0.4;00:26;
0.7;90;-0.8;0.7;0;0;1022.4;0;0;0;0;44;0;162.6;-1.3;-0.4;00:27;
0.7;90;-0.8;0.7;0;0;1022.2;0;0;0;0;44;0;162.6;-1.3;-0.4;00:28;
0.7;90;-0.8;0.7;0;0;1022.4;0;0;0;0;44;0;162.6;-1.3;-0.4;00:29;
0.6;90;-0.9;0.6;0;0;1022.4;0;0;0;0;44;0;162.6;-1.3;-0.4;00:30;
0.6;90;-0.9;0.6;0;0;1022.4;0;0;0;0;44;0;162.6;-1.3;-0.4;00:31;
0.6;90;-0.9;0.6;0;0;1022.5;0;0;0;0;44;0;162.6;-1.3;-0.5;00:32;
0.6;90;-0.9;0.6;0;0;1022.4;0;0;0;0;44;0;162.6;-1.4;-0.5;00:33;
0.6;90;-0.9;0.6;0;0;1022.4;0;0;0;0;44;0;162.6;-1.4;-0.5;00:34;
0.5;90;-0.9;0.5;0;0;1022.2;0;0;0;0;44;0;162.6;-1.4;-0.5;00:35;
0.5;90;-0.9;0.5;0;0;1022.3;0;0;0;0;44;0;162.6;-1.4;-0.5;00:36;
0.4;90;-1;0.4;0;0;1022;0;0;0;0;44;0;162.6;-1.4;-0.6;00:37;
0.4;90;-1;0.4;0;1.8;1022.3;0;0;0;0;44;0;162.6;-1.5;-0.6;00:38;
0.4;90;-1;0.4;0;0;1022.2;0;0;0;0;44;0;162.6;-1.5;-0.7;00:39;
0.4;90;-1;0.4;0;0;1022.2;0;0;0;0;44;0;162.6;-1.5;-0.7;00:40;
0.4;90;-1;0.4;0;1.8;1022.3;0;0;0;0;44;0;162.6;-1.5;-0.7;00:41;
0.4;90;-1;0.4;0;0;1022.4;0;0;0;0;44;0;162.6;-1.5;-0.7;00:42;
0.4;90;-1;0.4;0;0;1022;0;0;0;0;44;0;162.6;-1.5;-0.8;00:43;
0.3;90;-1.1;0.3;0;1.8;1022.3;0;0;0;0;44;0;162.6;-1.5;-0.8;00:44;
0.3;90;-1.1;0.3;0;1.8;1022.1;0;0;0;0;44;0;162.6;-1.5;-0.8;00:45;
0.4;90;-1;0.4;2.2;2.9;1022.1;0;0;0;0;44;0;162.6;-1.6;-0.8;00:46;
0.5;90;-0.9;0.5;2.2;2.5;1022.2;0;0;0;0;44;0;162.6;-1.6;-0.8;00:47;
