Heure,CH1 Température(℃),CH1 Dewpoint(℃),CH1 HeatIndex(℃),CH1 Humidité(%),CH2 Température(℃),CH2 Dewpoint(℃),CH2 HeatIndex(℃),CH2 Humidité(%),CH3 Température(℃),CH3 Dewpoint(℃),CH3 HeatIndex(℃),CH3 Humidité(%),CH4 Température(℃),CH4 Dewpoint(℃),CH4 HeatIndex(℃),CH4 Humidité(%),CH5 Température(℃),CH5 Dewpoint(℃),CH5 HeatIndex(℃),CH5 Humidité(%),CH6 Température(℃),CH6 Dewpoint(℃),CH6 HeatIndex(℃),CH6 Humidité(%),CH7 Température(℃),CH7 Dewpoint(℃),CH7 HeatIndex(℃),CH7 Humidité(%),CH8 Température(℃),CH8 Dewpoint(℃),CH8 HeatIndex(℃),CH8 Humidité(%),WN35 CH1hum(%),WN35 CH2hum(%),WN35 CH3hum(%),WN35 CH4hum(%),WN35 CH5hum(%),WN35 CH6hum(%),WN35 CH7hum(%),WN35 CH8hum(%),Thunder Nombre,Thunder distance,WH45 Température(℃),WH45 Humidité(%),WH45 CO2(ppm),WH45 Pm2.5(ug/m3),WH45 Pm10(ug/m3),SoilMoisture CH1(%),SoilMoisture CH2(%),SoilMoisture CH3(%),SoilMoisture CH4(%),SoilMoisture CH5(%),SoilMoisture CH6(%),SoilMoisture CH7(%),SoilMoisture CH8(%),Water CH1,Water CH2,Water CH3,Water CH4,Pm2.5 CH1(ug/m3),Pm2.5 CH2(ug/m3),Pm2.5 CH3(ug/m3),Pm2.5 CH4(ug/m3),WN34 CH1(℃),WN34 CH2(℃),WN34 CH3(℃),WN34 CH4(℃),WN34 CH5(℃),WN34 CH6(℃),WN34 CH7(℃),WN34 CH8(℃)
2025/1/31 23:59,6.6,6.1,6.6,96,7.0,6.0,7.0,94,14.1,8.7,14.1,70,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100,--,--,--,--,--,--,--,Normal,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2025/2/1 0:00,6.6,6.1,6.6,96,7.0,6.0,7.0,94,14.1,8.7,14.1,70,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100,--,--,--,--,--,--,--,Normal,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2025/2/1 0:01,6.6,6.1,6.6,96,6.9,5.9,6.9,94,14.1,8.7,14.1,70,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100,--,--,--,--,--,--,--,Normal,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2025/2/1 0:02,6.6,6.1,6.6,96,6.9,5.9,6.9,94,14.1,8.7,14.1,70,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100,--,--,--,--,--,--,--,Normal,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2025/2/1 0:03,6.6,6.1,6.6,96,6.9,5.9,6.9,94,14.1,8.7,14.1,70,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100,--,--,--,--,--,--,--,Normal,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2025/2/1 0:04,6.6,6.1,6.6,96,6.9,5.9,6.9,94,14.1,8.7,14.1,70,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100,--,--,--,--,--,--,--,Normal,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2025/2/1 0:05,6.6,6.1,6.6,96,6.9,5.9,6.9,94,14.1,8.7,14.1,70,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100,--,--,--,--,--,--,--,Normal,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2025/2/1 0:06,6.6,6.2,6.6,97,6.9,5.9,6.9,94,14.1,8.7,14.1,70,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100,--,--,--,--,--,--,--,Normal,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2025/2/1 0:07,6.6,6.2,6.6,97,6.9,5.9,6.9,94,14.1,8.7,14.1,70,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100,--,--,--,--,--,--,--,Normal,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2025/2/1 0:08,6.6,6.2,6.6,97,6.9,5.9,6.9,94,14.1,8.7,14.1,70,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100,--,--,--,--,--,--,--,Normal,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
